action,current_replicas,event_type,observed_itl,observed_replicas,observed_ttft,predicted_itl,predicted_replicas,predicted_ttft,target_replicas,timestamp
,,observed_metrics,13.31,1,26.76,,,,,2025-12-10T13:18:14.139Z
,,prediction,,,,8.687481,2,17.3779,,2025-12-10T13:18:14.150Z
scale-up,1,scaling_decision,,,,,,,2,2025-12-10T13:18:14.150Z
,,observed_metrics,26.35,1,44.07,,,,,2025-12-10T13:19:14.175Z
,,prediction,,,,9.826687,2,18.70636,,2025-12-10T13:19:14.185Z
scale-up,1,scaling_decision,,,,,,,2,2025-12-10T13:19:14.185Z
,,observed_metrics,36.33,1,58.7,,,,,2025-12-10T13:20:14.223Z
,,prediction,,,,9.935881,2,18.87884,,2025-12-10T13:20:14.234Z
scale-up,1,scaling_decision,,,,,,,2,2025-12-10T13:20:14.234Z
,,observed_metrics,45.79,2,72.45,,,,,2025-12-10T13:21:14.266Z
,,prediction,,,,9.98808,2,18.785048,,2025-12-10T13:21:14.276Z
no-change,2,scaling_decision,,,,,,,2,2025-12-10T13:21:14.276Z
,,observed_metrics,21.05,2,35.75,,,,,2025-12-10T13:22:14.310Z
,,prediction,,,,9.349958,4,17.61724,,2025-12-10T13:22:14.320Z
scale-up,2,scaling_decision,,,,,,,4,2025-12-10T13:22:14.320Z
,,observed_metrics,11.42,2,22.58,,,,,2025-12-10T13:23:14.347Z
,,prediction,,,,8.994665,3,17.557474,,2025-12-10T13:23:14.357Z
scale-up,2,scaling_decision,,,,,,,3,2025-12-10T13:23:14.357Z
,,observed_metrics,10.41,2,21.48,,,,,2025-12-10T13:24:14.392Z
,,prediction,,,,9.826023,2,18.427128,,2025-12-10T13:24:14.402Z
no-change,2,scaling_decision,,,,,,,2,2025-12-10T13:24:14.402Z
,,observed_metrics,8.07,2,16.34,,,,,2025-12-10T13:25:14.433Z
,,prediction,,,,9.4091835,1,18.115837,,2025-12-10T13:25:14.444Z
scale-down,2,scaling_decision,,,,,,,1,2025-12-10T13:25:14.444Z
,,observed_metrics,10.14,1,20.29,,,,,2025-12-10T13:26:14.487Z
,,prediction,,,,8.498642,2,17.790768,,2025-12-10T13:26:14.497Z
scale-up,1,scaling_decision,,,,,,,2,2025-12-10T13:26:14.497Z
,,observed_metrics,10.89,1,22.09,,,,,2025-12-10T13:27:14.524Z
,,prediction,,,,8.7695055,2,19.09393,,2025-12-10T13:27:14.530Z
scale-up,1,scaling_decision,,,,,,,2,2025-12-10T13:27:14.530Z
,,observed_metrics,10.54,1,20.9,,,,,2025-12-10T13:28:14.566Z
,,prediction,,,,8.546056,2,18.663824,,2025-12-10T13:28:14.578Z
scale-up,1,scaling_decision,,,,,,,2,2025-12-10T13:28:14.578Z
,,observed_metrics,9.77,2,20.07,,,,,2025-12-10T13:29:14.609Z
,,prediction,,,,9.529856,2,19.776237,,2025-12-10T13:29:14.619Z
no-change,2,scaling_decision,,,,,,,2,2025-12-10T13:29:14.619Z
,,observed_metrics,8.75,2,17.38,,,,,2025-12-10T13:30:14.653Z
,,prediction,,,,8.8682165,2,17.768658,,2025-12-10T13:30:14.663Z
no-change,2,scaling_decision,,,,,,,2,2025-12-10T13:30:14.663Z
,,observed_metrics,8.25,2,15.8,,,,,2025-12-10T13:31:14.694Z
,,prediction,,,,9.567637,1,17.94723,,2025-12-10T13:31:14.703Z
scale-down,2,scaling_decision,,,,,,,1,2025-12-10T13:31:14.703Z
,,observed_metrics,10.38,1,20.99,,,,,2025-12-10T13:32:14.746Z
,,prediction,,,,9.540547,1,18.169632,,2025-12-10T13:32:14.757Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T13:32:14.757Z
,,observed_metrics,9.87,1,20.57,,,,,2025-12-10T13:33:14.787Z
,,prediction,,,,9.450024,1,17.852192,,2025-12-10T13:33:14.797Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T13:33:14.797Z
,,observed_metrics,9.9,1,20.21,,,,,2025-12-10T13:34:14.831Z
,,prediction,,,,9.902638,1,19.591969,,2025-12-10T13:34:14.835Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T13:34:14.835Z
,,observed_metrics,10.1,1,20.46,,,,,2025-12-10T13:35:14.867Z
,,prediction,,,,8.623198,2,18.29689,,2025-12-10T13:35:14.877Z
scale-up,1,scaling_decision,,,,,,,2,2025-12-10T13:35:14.877Z
,,observed_metrics,8.3,1,17.57,,,,,2025-12-10T13:36:14.913Z
,,prediction,,,,8.3574,1,17.749958,,2025-12-10T13:36:14.923Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T13:36:14.923Z
,,observed_metrics,8.13,1,17.55,,,,,2025-12-10T13:37:14.952Z
,,prediction,,,,8.144916,1,17.567883,,2025-12-10T13:37:14.963Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T13:37:14.963Z
,,observed_metrics,8.18,1,17.33,,,,,2025-12-10T13:38:15.083Z
,,prediction,,,,8.162091,1,17.360912,,2025-12-10T13:38:15.092Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T13:38:15.092Z
,,observed_metrics,8.43,1,17.92,,,,,2025-12-10T13:39:15.119Z
,,prediction,,,,8.42901,1,17.879704,,2025-12-10T13:39:15.130Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T13:39:15.130Z
,,observed_metrics,8.28,1,17.73,,,,,2025-12-10T13:40:15.164Z
,,prediction,,,,8.287441,1,17.69442,,2025-12-10T13:40:15.173Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T13:40:15.173Z
,,observed_metrics,8.52,1,17.43,,,,,2025-12-10T13:41:15.209Z
,,prediction,,,,8.50249,1,17.535213,,2025-12-10T13:41:15.219Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T13:41:15.219Z
,,observed_metrics,8.38,1,17.85,,,,,2025-12-10T13:42:15.252Z
,,prediction,,,,8.369274,1,17.746387,,2025-12-10T13:42:15.256Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T13:42:15.256Z
,,observed_metrics,8.5,1,17.48,,,,,2025-12-10T13:43:15.290Z
,,prediction,,,,8.525741,1,17.558506,,2025-12-10T13:43:15.301Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T13:43:15.301Z
,,observed_metrics,8.22,1,17.5,,,,,2025-12-10T13:44:15.335Z
,,prediction,,,,8.234419,1,17.51966,,2025-12-10T13:44:15.346Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T13:44:15.346Z
,,observed_metrics,8.23,1,17.33,,,,,2025-12-10T13:45:15.376Z
,,prediction,,,,8.218405,1,17.320513,,2025-12-10T13:45:15.386Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T13:45:15.386Z
,,observed_metrics,8.04,1,17.09,,,,,2025-12-10T13:46:15.418Z
,,prediction,,,,8.020073,1,17.034225,,2025-12-10T13:46:15.428Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T13:46:15.428Z
,,observed_metrics,0.0,1,0.0,,,,,2025-12-10T13:47:15.452Z
,,prediction,,,,7.162597,1,15.880477,,2025-12-10T13:47:15.452Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T13:47:15.452Z
