action,cost,current_replicas,event_type,itl,kv_cache_percent,kv_cache_usage,pod,queue_length,replicas,target_replicas,timestamp,ttft
,,,queue,,,,,,,,2025-12-09T20:46:34.673Z,
,,,kv_cache,,57.5,0.575,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T20:46:34.673Z,
,,,kv_cache,,79.4,0.794,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dpbc8h,,,,2025-12-09T20:46:34.673Z,
,,,kv_cache,,50.8,0.508,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dbrp9h,,,,2025-12-09T20:46:34.673Z,
,,,kv_cache,,,,,,,,2025-12-09T20:46:34.673Z,
no-change,,4,scaling_decision,,,,,,,4,2025-12-09T20:46:34.676Z,
,30.0,,metrics,35.96,,,,,3,,2025-12-09T20:47:34.707Z,60.8
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T20:47:34.708Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dpbc8h,0,,,2025-12-09T20:47:34.708Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dbrp9h,0,,,2025-12-09T20:47:34.708Z,
,,,queue,,,,,,,,2025-12-09T20:47:34.708Z,
,,,kv_cache,,60.4,0.604,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T20:47:34.708Z,
,,,kv_cache,,67.9,0.679,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dpbc8h,,,,2025-12-09T20:47:34.708Z,
,,,kv_cache,,50.6,0.506,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dbrp9h,,,,2025-12-09T20:47:34.708Z,
,,,kv_cache,,,,,,,,2025-12-09T20:47:34.708Z,
no-change,,4,scaling_decision,,,,,,,4,2025-12-09T20:47:34.714Z,
,40.0,,metrics,32.38,,,,,4,,2025-12-09T20:48:34.744Z,56.1
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T20:48:34.745Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgjkpj,0,,,2025-12-09T20:48:34.745Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dpbc8h,0,,,2025-12-09T20:48:34.745Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dbrp9h,0,,,2025-12-09T20:48:34.745Z,
,,,queue,,,,,,,,2025-12-09T20:48:34.745Z,
,,,kv_cache,,53.6,0.536,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T20:48:34.746Z,
,,,kv_cache,,0.1,0.001,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgjkpj,,,,2025-12-09T20:48:34.746Z,
,,,kv_cache,,61.1,0.611,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dpbc8h,,,,2025-12-09T20:48:34.746Z,
,,,kv_cache,,51.6,0.516,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dbrp9h,,,,2025-12-09T20:48:34.746Z,
,,,kv_cache,,,,,,,,2025-12-09T20:48:34.746Z,
no-change,,4,scaling_decision,,,,,,,4,2025-12-09T20:48:34.748Z,
,40.0,,metrics,19.94,,,,,4,,2025-12-09T20:49:34.776Z,37.33
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T20:49:34.778Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgjkpj,0,,,2025-12-09T20:49:34.778Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dpbc8h,0,,,2025-12-09T20:49:34.778Z,
