action,cost,current_replicas,event_type,itl,kv_cache_percent,kv_cache_usage,non_saturated_replicas,pod,queue_length,replicas,scale_down_safe,should_scale_up,target_replicas,timestamp,total_replicas,ttft
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:28:49.260Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:28:49.260Z,,
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:28:49.260Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:28:49.260Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:28:49.260Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:28:49.260Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:28:49.260Z,,
,10.0,,metrics,12.84,,,,,,1,,,,2025-11-28T20:29:19.391Z,,24.21
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:29:19.396Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:29:19.396Z,,
,,,kv_cache,,15.7,0.157,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:29:19.396Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:29:19.396Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:29:19.397Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:29:19.397Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:29:19.397Z,,
,10.0,,metrics,12.84,,,,,,1,,,,2025-11-28T20:29:19.439Z,,24.21
,,,kv_cache,,15.7,0.157,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:29:19.446Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:29:19.475Z,,
