action,current_replicas,event_type,observed_itl,observed_replicas,observed_ttft,predicted_itl,predicted_replicas,predicted_ttft,target_replicas,timestamp
,,prediction,,,,9.905876,1,19.28352,,2025-12-09T05:35:29.110Z
scale-down,2,scaling_decision,,,,,,,1,2025-12-09T05:35:29.110Z
,,observed_metrics,9.55,1,19.09,,,,,2025-12-09T05:36:29.140Z
,,prediction,,,,9.520991,1,18.972895,,2025-12-09T05:36:29.144Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T05:36:29.144Z
,,observed_metrics,9.37,1,19.23,,,,,2025-12-09T05:37:29.170Z
,,prediction,,,,9.379531,1,18.89254,,2025-12-09T05:37:29.179Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T05:37:29.179Z
,,observed_metrics,9.89,1,19.46,,,,,2025-12-09T05:38:29.212Z
,,prediction,,,,9.89468,1,19.314232,,2025-12-09T05:38:29.222Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T05:38:29.222Z
,,observed_metrics,9.68,1,19.57,,,,,2025-12-09T05:39:29.253Z
,,prediction,,,,9.692526,1,19.228352,,2025-12-09T05:39:29.263Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T05:39:29.263Z
,,observed_metrics,9.72,1,19.36,,,,,2025-12-09T05:40:29.296Z
,,prediction,,,,9.698085,1,19.107847,,2025-12-09T05:40:29.306Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T05:40:29.306Z
,,observed_metrics,9.67,1,18.98,,,,,2025-12-09T05:41:29.332Z
,,prediction,,,,9.7112055,1,19.219515,,2025-12-09T05:41:29.343Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T05:41:29.343Z
,,observed_metrics,9.89,1,19.35,,,,,2025-12-09T05:42:29.373Z
,,prediction,,,,9.865677,1,19.383709,,2025-12-09T05:42:29.383Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T05:42:29.383Z
,,observed_metrics,9.86,1,19.12,,,,,2025-12-09T05:43:29.411Z
,,prediction,,,,9.877479,1,19.299892,,2025-12-09T05:43:29.421Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T05:43:29.421Z
,,observed_metrics,9.58,1,18.87,,,,,2025-12-09T05:44:29.456Z
,,prediction,,,,9.572076,1,19.11877,,2025-12-09T05:44:29.465Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T05:44:29.465Z
,,observed_metrics,9.52,1,18.87,,,,,2025-12-09T05:45:29.503Z
,,prediction,,,,9.529303,1,19.029387,,2025-12-09T05:45:29.514Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T05:45:29.514Z
,,observed_metrics,9.33,1,17.83,,,,,2025-12-09T05:46:29.558Z
,,prediction,,,,9.145861,1,17.68268,,2025-12-09T05:46:29.568Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T05:46:29.568Z
