action,cost,current_replicas,event_type,itl,kv_cache_percent,kv_cache_usage,non_saturated_replicas,pod,queue_length,replicas,scale_down_safe,should_scale_up,target_replicas,timestamp,total_replicas,ttft
,10.0,,metrics,7.87,,,,,,1,,,,2025-11-28T01:59:45.586Z,,38.18
,,,kv_cache,,0.3,0.003,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T01:59:45.588Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T01:59:45.588Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T01:59:45.588Z,,
,,,queue,,,,,,,,,,,2025-11-28T01:59:45.588Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T01:59:45.588Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T01:59:45.588Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T01:59:45.588Z,,
,10.0,,metrics,10.26,,,,,,1,,,,2025-11-28T02:00:15.593Z,,21.94
,,,kv_cache,,6.8,0.068,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T02:00:15.594Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T02:00:15.594Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T02:00:15.594Z,,
,,,queue,,,,,,,,,,,2025-11-28T02:00:15.594Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T02:00:15.594Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T02:00:15.594Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T02:00:15.594Z,,
,10.0,,metrics,10.26,,,,,,1,,,,2025-11-28T02:00:15.607Z,,21.94
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T02:00:15.608Z,,
,,,queue,,,,,,,,,,,2025-11-28T02:00:15.608Z,,
,,,kv_cache,,6.8,0.068,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T02:00:15.608Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T02:00:15.608Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T02:00:15.608Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T02:00:15.608Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T02:00:15.608Z,,
,10.0,,metrics,10.94,,,,,,1,,,,2025-11-28T02:00:45.688Z,,22.69
,,,kv_cache,,7.5,0.075,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T02:00:45.689Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T02:00:45.689Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T02:00:45.689Z,,
,,,queue,,,,,,,,,,,2025-11-28T02:00:45.689Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T02:00:45.689Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T02:00:45.689Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T02:00:45.689Z,,
,10.0,,metrics,10.94,,,,,,1,,,,2025-11-28T02:00:45.703Z,,22.69
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T02:00:45.705Z,,
,,,queue,,,,,,,,,,,2025-11-28T02:00:45.705Z,,
,,,kv_cache,,7.5,0.075,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T02:00:45.705Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T02:00:45.705Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T02:00:45.705Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T02:00:45.705Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T02:00:45.705Z,,
,10.0,,metrics,14.49,,,,,,1,,,,2025-11-28T02:01:15.708Z,,26.77
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T02:01:15.710Z,,
,,,queue,,,,,,,,,,,2025-11-28T02:01:15.710Z,,
,,,kv_cache,,22.9,0.229,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T02:01:15.710Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T02:01:15.710Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T02:01:15.710Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T02:01:15.710Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T02:01:15.710Z,,
,10.0,,metrics,14.49,,,,,,1,,,,2025-11-28T02:01:15.723Z,,26.77
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T02:01:15.725Z,,
,,,queue,,,,,,,,,,,2025-11-28T02:01:15.725Z,,
,,,kv_cache,,22.9,0.229,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T02:01:15.725Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T02:01:15.725Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T02:01:15.725Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T02:01:15.725Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T02:01:15.725Z,,
,10.0,,metrics,21.47,,,,,,1,,,,2025-11-28T02:01:45.729Z,,38.15
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T02:01:45.731Z,,
,,,queue,,,,,,,,,,,2025-11-28T02:01:45.731Z,,
,,,kv_cache,,31.3,0.313,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T02:01:45.731Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T02:01:45.731Z,,
,,,capacity_analysis,,,,1,,,,False,True,,2025-11-28T02:01:45.731Z,1,
,,,capacity_analysis,,,,1,,,,False,True,,2025-11-28T02:01:45.731Z,1,
scale-up,,1,scaling_decision,,,,,,,,,,2,2025-11-28T02:01:45.731Z,,
,10.0,,metrics,21.47,,,,,,1,,,,2025-11-28T02:01:45.745Z,,38.15
,,,kv_cache,,31.3,0.313,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T02:01:45.746Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T02:01:45.746Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T02:01:45.746Z,,
,,,queue,,,,,,,,,,,2025-11-28T02:01:45.746Z,,
