action,current_replicas,event_type,observed_itl,observed_replicas,observed_ttft,predicted_itl,predicted_replicas,predicted_ttft,target_replicas,timestamp
no-change,2,scaling_decision,,,,,,,2,2025-12-09T04:17:12.193Z
,,observed_metrics,9.52,2,17.52,,,,,2025-12-09T04:18:12.216Z
,,prediction,,,,9.500714,2,18.601181,,2025-12-09T04:18:12.225Z
no-change,2,scaling_decision,,,,,,,2,2025-12-09T04:18:12.225Z
,,observed_metrics,9.41,2,17.07,,,,,2025-12-09T04:19:12.255Z
,,prediction,,,,9.417105,2,18.49898,,2025-12-09T04:19:12.266Z
no-change,2,scaling_decision,,,,,,,2,2025-12-09T04:19:12.266Z
,,observed_metrics,9.26,2,16.87,,,,,2025-12-09T04:20:12.289Z
,,prediction,,,,9.285256,2,18.372566,,2025-12-09T04:20:12.296Z
no-change,2,scaling_decision,,,,,,,2,2025-12-09T04:20:12.296Z
,,observed_metrics,9.23,2,17.25,,,,,2025-12-09T04:21:12.325Z
,,prediction,,,,9.232378,2,18.219028,,2025-12-09T04:21:12.334Z
no-change,2,scaling_decision,,,,,,,2,2025-12-09T04:21:12.334Z
,,observed_metrics,9.02,2,17.61,,,,,2025-12-09T04:22:12.361Z
,,prediction,,,,9.94632,1,18.961185,,2025-12-09T04:22:12.370Z
scale-down,2,scaling_decision,,,,,,,1,2025-12-09T04:22:12.370Z
,,observed_metrics,9.53,1,19.7,,,,,2025-12-09T04:23:12.409Z
,,prediction,,,,9.4375725,1,18.27458,,2025-12-09T04:23:12.418Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T04:23:12.418Z
,,observed_metrics,9.38,1,19.01,,,,,2025-12-09T04:24:12.438Z
,,prediction,,,,9.385611,1,18.281029,,2025-12-09T04:24:12.447Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T04:24:12.447Z
,,observed_metrics,9.76,1,19.56,,,,,2025-12-09T04:25:12.472Z
,,prediction,,,,9.740568,1,18.587208,,2025-12-09T04:25:12.480Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T04:25:12.480Z
,,observed_metrics,9.58,1,19.1,,,,,2025-12-09T04:26:12.504Z
,,prediction,,,,9.604814,1,18.531628,,2025-12-09T04:26:12.513Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T04:26:12.513Z
,,observed_metrics,9.74,1,19.52,,,,,2025-12-09T04:27:12.538Z
,,prediction,,,,9.721235,1,18.624994,,2025-12-09T04:27:12.548Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T04:27:12.548Z
,,observed_metrics,9.82,1,18.82,,,,,2025-12-09T04:28:12.570Z
,,prediction,,,,9.818442,1,18.45977,,2025-12-09T04:28:12.578Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T04:28:12.578Z
,,observed_metrics,9.87,1,19.38,,,,,2025-12-09T04:29:12.602Z
,,prediction,,,,9.864532,1,18.591335,,2025-12-09T04:29:12.611Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T04:29:12.611Z
,,observed_metrics,9.92,1,19.36,,,,,2025-12-09T04:30:12.632Z
,,prediction,,,,9.931912,1,18.775927,,2025-12-09T04:30:12.640Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T04:30:12.640Z
,,observed_metrics,9.66,1,19.35,,,,,2025-12-09T04:31:12.671Z
,,prediction,,,,9.641288,1,18.623951,,2025-12-09T04:31:12.680Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T04:31:12.680Z
,,observed_metrics,9.72,1,19.57,,,,,2025-12-09T04:32:12.703Z
,,prediction,,,,9.717142,1,18.618082,,2025-12-09T04:32:12.711Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T04:32:12.711Z
,,observed_metrics,9.42,1,17.92,,,,,2025-12-09T04:33:12.736Z
,,prediction,,,,9.341224,1,17.35602,,2025-12-09T04:33:12.741Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T04:33:12.741Z
