action,cost,current_replicas,event_type,itl,kv_cache_percent,kv_cache_usage,pod,queue_length,replicas,target_replicas,timestamp,ttft
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T21:27:36.116Z,
,10.0,,metrics,8.22,,,,,1,,2025-12-09T21:28:36.139Z,17.13
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:28:36.140Z,
,,,queue,,,,,,,,2025-12-09T21:28:36.140Z,
,,,kv_cache,,4.5,0.045,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:28:36.140Z,
,,,kv_cache,,,,,,,,2025-12-09T21:28:36.140Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T21:28:36.142Z,
,10.0,,metrics,8.41,,,,,1,,2025-12-09T21:29:36.161Z,17.12
,,,kv_cache,,4.6,0.046,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:29:36.163Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:29:36.163Z,
,,,kv_cache,,,,,,,,2025-12-09T21:29:36.163Z,
,,,queue,,,,,,,,2025-12-09T21:29:36.163Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T21:29:36.164Z,
,10.0,,metrics,8.51,,,,,1,,2025-12-09T21:30:36.187Z,18.21
,,,kv_cache,,5.2,0.052,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:30:36.188Z,
,,,kv_cache,,,,,,,,2025-12-09T21:30:36.188Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:30:36.188Z,
,,,queue,,,,,,,,2025-12-09T21:30:36.188Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T21:30:36.190Z,
,10.0,,metrics,8.5,,,,,1,,2025-12-09T21:31:36.225Z,17.44
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:31:36.227Z,
,,,queue,,,,,,,,2025-12-09T21:31:36.227Z,
,,,kv_cache,,4.0,0.04,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:31:36.227Z,
,,,kv_cache,,,,,,,,2025-12-09T21:31:36.227Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T21:31:36.229Z,
,10.0,,metrics,8.22,,,,,1,,2025-12-09T21:32:36.257Z,17.58
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:32:36.258Z,
,,,queue,,,,,,,,2025-12-09T21:32:36.258Z,
,,,kv_cache,,3.4,0.034,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:32:36.259Z,
,,,kv_cache,,,,,,,,2025-12-09T21:32:36.259Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T21:32:36.260Z,
